Formula,PG,First,SG1,Second,SG2
YMg,m-3m,Y,P63/mmc,Mg,P63/mmc
YMg3,m-3m,Y,P63/mmc,Mg,P63/mmc
YMg2,6/mmm,Y,P63/mmc,Mg,P63/mmc
YMg5,2/m,Y,P63/mmc,Mg,P63/mmc
YMn12,4/mmm,Y,P63/mmc,Mn,I-43m
YN,m-3m,Y,P63/mmc,N,P63/mmc
YN,-43m,Y,P63/mmc,N,P63/mmc
YN,6/mmm,Y,P63/mmc,N,P63/mmc
YN,-6m2,Y,P63/mmc,N,P63/mmc
YN,m-3m,Y,P63/mmc,N,P63/mmc
YNi,mmm,Y,P63/mmc,Ni,Fm-3m
YNi3,-3m,Y,P63/mmc,Ni,Fm-3m
YNi5,6/mmm,Y,P63/mmc,Ni,Fm-3m
YNi2,m-3m,Y,P63/mmc,Ni,Fm-3m
Y2O3,m-3,Y,P63/mmc,O,C12/m1
Y2O3,-3m,Y,P63/mmc,O,C12/m1
Y2O3,2/m,Y,P63/mmc,O,C12/m1
Y2O3,mmm,Y,P63/mmc,O,C12/m1
Y2O3,-3m,Y,P63/mmc,O,C12/m1
Y2O3,m-3m,Y,P63/mmc,O,C12/m1
YOs2,6/mmm,Y,P63/mmc,Os,P63/mmc
YP,m-3m,Y,P63/mmc,P,P-1
YP,m-3m,Y,P63/mmc,P,P-1
YPd3,m-3m,Y,P63/mmc,Pd,Fm-3m
Y3Pt,mmm,Y,P63/mmc,Pt,Fm-3m
YPt2,m-3m,Y,P63/mmc,Pt,Fm-3m
YPt3,m-3m,Y,P63/mmc,Pt,Fm-3m
YPt,mmm,Y,P63/mmc,Pt,Fm-3m
YRe2,6/mmm,Y,P63/mmc,Re,P63/mmc
YRh2,m-3m,Y,P63/mmc,Rh,Fm-3m
YRh,m-3m,Y,P63/mmc,Rh,Fm-3m
YRh5,6/mmm,Y,P63/mmc,Rh,Fm-3m
YRu2,6/mmm,Y,P63/mmc,Ru,P63/mmc
Y2S3,2/m,Y,P63/mmc,S,Fddd
YS,m-3m,Y,P63/mmc,S,Fddd
YS2,m-3m,Y,P63/mmc,S,Fddd
Y4Sb3,-43m,Y,P63/mmc,Sb,R-3m
YSb,m-3m,Y,P63/mmc,Sb,R-3m
YSb,m-3m,Y,P63/mmc,Sb,R-3m
YSb2,222,Y,P63/mmc,Sb,R-3m
YSe,m-3m,Y,P63/mmc,Se,P121/c1
YSi,mmm,Y,P63/mmc,Si,Fd-3m
YSi2,4/mmm,Y,P63/mmc,Si,Fd-3m
YSi2,6/mmm,Y,P63/mmc,Si,Fd-3m
Y5Sn3,6/mmm,Y,P63/mmc,Sn,I41/amd
YSn2,mmm,Y,P63/mmc,Sn,I41/amd
YSn3,m-3m,Y,P63/mmc,Sn,I41/amd
YTe,-6m2,Y,P63/mmc,Te,P3121
YTe,m-3m,Y,P63/mmc,Te,P3121
YTi,m-3m,Y,P63/mmc,Ti,P63/mmc
YTl3,m-3m,Y,P63/mmc,Tl,P63/mmc
YZn3,mmm,Y,P63/mmc,Zn,P63/mmc
YZn12,4/mmm,Y,P63/mmc,Zn,P63/mmc
YZn,m-3m,Y,P63/mmc,Zn,P63/mmc
YZn5,6/mmm,Y,P63/mmc,Zn,P63/mmc
YZn,m-3m,Y,P63/mmc,Zn,P63/mmc
Y2Zn17,-3m,Y,P63/mmc,Zn,P63/mmc
YZr,-6m2,Y,P63/mmc,Zr,P63/mmc
Zr2Ag,4/mmm,Zr,P63/mmc,Ag,Fm-3m
ZrAg,4/mmm,Zr,P63/mmc,Ag,Fm-3m
ZrAg2,4/mmm,Zr,P63/mmc,Ag,Fm-3m
Zr3Ag,m-3m,Zr,P63/mmc,Ag,Fm-3m
ZrAl3,4/mmm,Zr,P63/mmc,Al,Fm-3m
Zr4Al3,6/mmm,Zr,P63/mmc,Al,Fm-3m
Zr2Al3,mm2,Zr,P63/mmc,Al,Fm-3m
ZrAl2,6/mmm,Zr,P63/mmc,Al,Fm-3m
Zr3Al,m-3m,Zr,P63/mmc,Al,Fm-3m
Zr2Al,6/mmm,Zr,P63/mmc,Al,Fm-3m
ZrAl3,m-3m,Zr,P63/mmc,Al,Fm-3m
ZrAl,mmm,Zr,P63/mmc,Al,Fm-3m
Zr2Al,4/mmm,Zr,P63/mmc,Al,Fm-3m
ZrAs,6/mmm,Zr,P63/mmc,As,R-3m
Zr3As2,mmm,Zr,P63/mmc,As,R-3m
ZrAs2,mmm,Zr,P63/mmc,As,R-3m
ZrAs,m-3m,Zr,P63/mmc,As,R-3m
ZrAu2,4/mmm,Zr,P63/mmc,Au,Fm-3m
Zr3Au,m-3m,Zr,P63/mmc,Au,Fm-3m
Zr2Au,4/mmm,Zr,P63/mmc,Au,Fm-3m
ZrB2,6/mmm,Zr,P63/mmc,B,R-3m
ZrB12,m-3m,Zr,P63/mmc,B,R-3m
ZrB,6/mmm,Zr,P63/mmc,B,R-3m
ZrB,m-3m,Zr,P63/mmc,B,R-3m
ZrB6,m-3m,Zr,P63/mmc,B,R-3m
ZrBe5,6/mmm,Zr,P63/mmc,Be,P63/mmc
ZrBe2,6/mmm,Zr,P63/mmc,Be,P63/mmc
ZrBi,mmm,Zr,P63/mmc,Bi,C12/m1
ZrBr,-3m,Zr,P63/mmc,Br,Cmca
ZrBr3,6/mmm,Zr,P63/mmc,Br,Cmca
ZrC,m-3m,Zr,P63/mmc,C,P63/mmc
ZrC,6/mmm,Zr,P63/mmc,C,P63/mmc
ZrC,-43m,Zr,P63/mmc,C,P63/mmc
ZrC,m-3m,Zr,P63/mmc,C,P63/mmc
Zr2Cd,4/mmm,Zr,P63/mmc,Cd,P63/mmc
ZrCd3,m-3m,Zr,P63/mmc,Cd,P63/mmc
ZrCd,4/mmm,Zr,P63/mmc,Cd,P63/mmc
ZrCl,-3m,Zr,P63/mmc,Cl,Cmca
ZrCl2,3m,Zr,P63/mmc,Cl,Cmca
ZrCl3,6/mmm,Zr,P63/mmc,Cl,Cmca
ZrCl3,-3m,Zr,P63/mmc,Cl,Cmca
Zr2Co,4/mmm,Zr,P63/mmc,Co,P63/mmc
ZrCo,m-3m,Zr,P63/mmc,Co,P63/mmc
ZrCo2,m-3m,Zr,P63/mmc,Co,P63/mmc
Zr3Co,mmm,Zr,P63/mmc,Co,P63/mmc
ZrCr2,m-3m,Zr,P63/mmc,Cr,Im-3m
ZrCr2,6/mmm,Zr,P63/mmc,Cr,Im-3m
Zr2Cu,4/mmm,Zr,P63/mmc,Cu,Fm-3m
ZrCu5,-43m,Zr,P63/mmc,Cu,Fm-3m
ZrCu,m-3m,Zr,P63/mmc,Cu,Fm-3m
Zr3Cu,m-3m,Zr,P63/mmc,Cu,Fm-3m
Zr3Fe,mmm,Zr,P63/mmc,Fe,Im-3m
Zr2Fe,4/mmm,Zr,P63/mmc,Fe,Im-3m
ZrFe2,m-3m,Zr,P63/mmc,Fe,Im-3m
ZrGa2,mmm,Zr,P63/mmc,Ga,Cmca
Zr2Ga3,mm2,Zr,P63/mmc,Ga,Cmca
ZrGa,4/mmm,Zr,P63/mmc,Ga,Cmca
Zr3Ga2,4/mmm,Zr,P63/mmc,Ga,Cmca
Zr2Ga,4/mmm,Zr,P63/mmc,Ga,Cmca
ZrGa3,4/mmm,Zr,P63/mmc,Ga,Cmca
ZrGe2,mmm,Zr,P63/mmc,Ge,Fm-3m
ZrH2,4/mmm,Zr,P63/mmc,H,P63/mmc
ZrH,4/mmm,Zr,P63/mmc,H,P63/mmc
ZrH2,m-3m,Zr,P63/mmc,H,P63/mmc
ZrH,-42m,Zr,P63/mmc,H,P63/mmc
ZrH3,m-3m,Zr,P63/mmc,H,P63/mmc
Zr3Hg,m-3m,Zr,P63/mmc,Hg,R-3m
ZrHg,4/mmm,Zr,P63/mmc,Hg,R-3m
ZrHg3,m-3m,Zr,P63/mmc,Hg,R-3m
ZrI2,mm2,Zr,P63/mmc,I,Cmca
ZrI2,2/m,Zr,P63/mmc,I,Cmca
ZrI3,6/mmm,Zr,P63/mmc,I,Cmca
ZrIn2,4/mmm,Zr,P63/mmc,In,I4/mmm
ZrIn3,4/mmm,Zr,P63/mmc,In,I4/mmm
Zr3In,m-3m,Zr,P63/mmc,In,I4/mmm
ZrIr,mmm,Zr,P63/mmc,Ir,Fm-3m
ZrIr3,m-3m,Zr,P63/mmc,Ir,Fm-3m
ZrIr2,m-3m,Zr,P63/mmc,Ir,Fm-3m
ZrIr,m-3m,Zr,P63/mmc,Ir,Fm-3m
ZrMn2,m-3m,Zr,P63/mmc,Mn,I-43m
ZrMn2,6/mmm,Zr,P63/mmc,Mn,I-43m
ZrMo2,m-3m,Zr,P63/mmc,Mo,Im-3m
ZrMo3,m-3m,Zr,P63/mmc,Mo,Im-3m
Zr2N,4/mmm,Zr,P63/mmc,N,P63/mmc
ZrN,m-3m,Zr,P63/mmc,N,P63/mmc
Zr3N2,-3m,Zr,P63/mmc,N,P63/mmc
Zr3N4,-43m,Zr,P63/mmc,N,P63/mmc
ZrN,6/mmm,Zr,P63/mmc,N,P63/mmc
ZrN,-6m2,Zr,P63/mmc,N,P63/mmc
ZrN,6mm,Zr,P63/mmc,N,P63/mmc
ZrN,m-3m,Zr,P63/mmc,N,P63/mmc
ZrNi3,6/mmm,Zr,P63/mmc,Ni,Fm-3m
Zr2Ni,4/mmm,Zr,P63/mmc,Ni,Fm-3m
ZrNi,mmm,Zr,P63/mmc,Ni,Fm-3m
ZrNi5,-43m,Zr,P63/mmc,Ni,Fm-3m
ZrNi2,m-3m,Zr,P63/mmc,Ni,Fm-3m
ZrO2,2/m,Zr,P63/mmc,O,C12/m1
Zr3O,-3m,Zr,P63/mmc,O,C12/m1
Zr3O,622,Zr,P63/mmc,O,C12/m1
Zr2O,32,Zr,P63/mmc,O,C12/m1
ZrO2,mmm,Zr,P63/mmc,O,C12/m1
ZrO2,4/mmm,Zr,P63/mmc,O,C12/m1
ZrO2,mm2,Zr,P63/mmc,O,C12/m1
ZrO2,mmm,Zr,P63/mmc,O,C12/m1
ZrO2,mmm,Zr,P63/mmc,O,C12/m1
ZrO2,4/mmm,Zr,P63/mmc,O,C12/m1
ZrO2,4/mmm,Zr,P63/mmc,O,C12/m1
ZrO2,2/m,Zr,P63/mmc,O,C12/m1
ZrO2,4/m,Zr,P63/mmc,O,C12/m1
ZrO2,m-3m,Zr,P63/mmc,O,C12/m1
ZrO2,mmm,Zr,P63/mmc,O,C12/m1
ZrO2,2/m,Zr,P63/mmc,O,C12/m1
ZrO,m-3m,Zr,P63/mmc,O,C12/m1
ZrOs,m-3m,Zr,P63/mmc,Os,P63/mmc
ZrOs2,6/mmm,Zr,P63/mmc,Os,P63/mmc
ZrOs3,m-3m,Zr,P63/mmc,Os,P63/mmc
Zr3P,4/m,Zr,P63/mmc,P,P-1
ZrP,6/mmm,Zr,P63/mmc,P,P-1
ZrP2,mmm,Zr,P63/mmc,P,P-1
ZrP,m-3m,Zr,P63/mmc,P,P-1
ZrPd3,6/mmm,Zr,P63/mmc,Pd,Fm-3m
Zr2Pd,4/mmm,Zr,P63/mmc,Pd,Fm-3m
ZrPd,mmm,Zr,P63/mmc,Pd,Fm-3m
Zr3Pd4,-3,Zr,P63/mmc,Pd,Fm-3m
ZrPd2,4/mmm,Zr,P63/mmc,Pd,Fm-3m
ZrPd3,m-3m,Zr,P63/mmc,Pd,Fm-3m
ZrPd,m-3m,Zr,P63/mmc,Pd,Fm-3m
ZrPt3,m-3m,Zr,P63/mmc,Pt,Fm-3m
Zr3Pt,m-3m,Zr,P63/mmc,Pt,Fm-3m
ZrPt,m-3m,Zr,P63/mmc,Pt,Fm-3m
ZrRe2,6/mmm,Zr,P63/mmc,Re,P63/mmc
Zr2Rh,4/mmm,Zr,P63/mmc,Rh,Fm-3m
ZrRh3,m-3m,Zr,P63/mmc,Rh,Fm-3m
ZrRh,mmm,Zr,P63/mmc,Rh,Fm-3m
ZrRh,mmm,Zr,P63/mmc,Rh,Fm-3m
ZrRh,m-3m,Zr,P63/mmc,Rh,Fm-3m
ZrRu,m-3m,Zr,P63/mmc,Ru,P63/mmc
ZrRu3,m-3m,Zr,P63/mmc,Ru,P63/mmc
ZrS,4/mmm,Zr,P63/mmc,S,Fddd
ZrS3,2/m,Zr,P63/mmc,S,Fddd
ZrS2,-3m,Zr,P63/mmc,S,Fddd
ZrS,m-3m,Zr,P63/mmc,S,Fddd
Zr2Sb,4/mmm,Zr,P63/mmc,Sb,R-3m
ZrSb,23,Zr,P63/mmc,Sb,R-3m
ZrSb2,mmm,Zr,P63/mmc,Sb,R-3m
ZrSb,mmm,Zr,P63/mmc,Sb,R-3m
Zr5Sb3,6/mmm,Zr,P63/mmc,Sb,R-3m
Zr5Sb4,6/mmm,Zr,P63/mmc,Sb,R-3m
ZrSe3,2/m,Zr,P63/mmc,Se,P121/c1
ZrSe2,-3m,Zr,P63/mmc,Se,P121/c1
ZrSi,mmm,Zr,P63/mmc,Si,Fd-3m
Zr2Si,4/mmm,Zr,P63/mmc,Si,Fd-3m
ZrSi2,mmm,Zr,P63/mmc,Si,Fd-3m
ZrSi,mmm,Zr,P63/mmc,Si,Fd-3m
Zr5Sn4,6/mmm,Zr,P63/mmc,Sn,I41/amd
ZrSn2,mmm,Zr,P63/mmc,Sn,I41/amd
Zr3Sn,m-3m,Zr,P63/mmc,Sn,I41/amd
Zr5Te4,4/m,Zr,P63/mmc,Te,P3121
ZrTe3,2/m,Zr,P63/mmc,Te,P3121
ZrTe,-6m2,Zr,P63/mmc,Te,P3121
Zr3Te,-4,Zr,P63/mmc,Te,P3121
ZrTe5,mmm,Zr,P63/mmc,Te,P3121
ZrTe2,-3m,Zr,P63/mmc,Te,P3121
ZrTe,mmm,Zr,P63/mmc,Te,P3121
ZrTe,6/mmm,Zr,P63/mmc,Te,P3121
ZrTe,6/mmm,Zr,P63/mmc,Te,P3121
ZrTi2,6/mmm,Zr,P63/mmc,Ti,P63/mmc
Zr3Tl,m-3m,Zr,P63/mmc,Tl,P63/mmc
ZrV2,m-3m,Zr,P63/mmc,V,Im-3m
ZrW2,m-3m,Zr,P63/mmc,W,Im-3m
ZrZn2,m-3m,Zr,P63/mmc,Zn,P63/mmc
ZrZn3,6/mmm,Zr,P63/mmc,Zn,P63/mmc
ZrZn,m-3m,Zr,P63/mmc,Zn,P63/mmc
Zr3Zn,4/mmm,Zr,P63/mmc,Zn,P63/mmc
ZrZn,m-3m,Zr,P63/mmc,Zn,P63/mmc
Nb2Al,4/mmm,Nb,Im-3m,Al,Fm-3m
NbAl3,4/mmm,Nb,Im-3m,Al,Fm-3m
Nb3Al,m-3m,Nb,Im-3m,Al,Fm-3m
NbAs,4mm,Nb,Im-3m,As,R-3m
NbAs2,2/m,Nb,Im-3m,As,R-3m
Nb3Au2,4/mmm,Nb,Im-3m,Au,Fm-3m
NbAu2,6/mmm,Nb,Im-3m,Au,Fm-3m
Nb3Au,m-3m,Nb,Im-3m,Au,Fm-3m
Nb3B4,mmm,Nb,Im-3m,B,R-3m
Nb3B2,4/mmm,Nb,Im-3m,B,R-3m
NbB2,6/mmm,Nb,Im-3m,B,R-3m
NbB,mmm,Nb,Im-3m,B,R-3m
Nb3Bi,m-3m,Nb,Im-3m,Bi,C12/m1
NbBr5,-1,Nb,Im-3m,Br,Cmca
Nb6C5,2/m,Nb,Im-3m,C,P63/mmc
Nb2C,mmm,Nb,Im-3m,C,P63/mmc
Nb2C,-3m,Nb,Im-3m,C,P63/mmc
Nb10C7,2/m,Nb,Im-3m,C,P63/mmc
NbC,m-3m,Nb,Im-3m,C,P63/mmc
Nb4C3,m-3m,Nb,Im-3m,C,P63/mmc
NbC,6/mmm,Nb,Im-3m,C,P63/mmc
NbC,6/mmm,Nb,Im-3m,C,P63/mmc
NbC,-43m,Nb,Im-3m,C,P63/mmc
NbC,m-3m,Nb,Im-3m,C,P63/mmc
NbCd3,m-3m,Nb,Im-3m,Cd,P63/mmc
Nb3Cl8,-3m,Nb,Im-3m,Cl,Cmca
Nb6Co7,-3m,Nb,Im-3m,Co,P63/mmc
NbCo2,m-3m,Nb,Im-3m,Co,P63/mmc
NbCo3,6mm,Nb,Im-3m,Co,P63/mmc
NbCo,m-3m,Nb,Im-3m,Co,P63/mmc
NbCr2,m-3m,Nb,Im-3m,Cr,Im-3m
Nb3Cr,m-3m,Nb,Im-3m,Cr,Im-3m
NbCr3,m-3m,Nb,Im-3m,Cr,Im-3m
Nb3Cr,4/mmm,Nb,Im-3m,Cr,Im-3m
Nb3Cr,m-3m,Nb,Im-3m,Cr,Im-3m
NbF4,4/mmm,Nb,Im-3m,F,C12/c1
NbF3,m-3m,Nb,Im-3m,F,C12/c1
NbFe2,6/mmm,Nb,Im-3m,Fe,Im-3m
NbFe3,m-3m,Nb,Im-3m,Fe,Im-3m
Nb3Fe,m-3m,Nb,Im-3m,Fe,Im-3m
Nb3Ga2,4/mmm,Nb,Im-3m,Ga,Cmca
NbGa3,4/mmm,Nb,Im-3m,Ga,Cmca
Nb5Ga3,4/mmm,Nb,Im-3m,Ga,Cmca
Nb3Ga,m-3m,Nb,Im-3m,Ga,Cmca
NbGe2,622,Nb,Im-3m,Ge,Fm-3m
Nb3Ge,m-3m,Nb,Im-3m,Ge,Fm-3m
Nb3Ge,m-3m,Nb,Im-3m,Ge,Fm-3m
NbH2,m-3m,Nb,Im-3m,H,P63/mmc
NbI3,6/mmm,Nb,Im-3m,I,Cmca
Nb3In,m-3m,Nb,Im-3m,In,I4/mmm
Nb3Ir,m-3m,Nb,Im-3m,Ir,Fm-3m
NbIr,4/mmm,Nb,Im-3m,Ir,Fm-3m
NbIr3,m-3m,Nb,Im-3m,Ir,Fm-3m
NbN,-6m2,Nb,Im-3m,N,P63/mmc
Nb4N5,4/m,Nb,Im-3m,N,P63/mmc
NbN,6/mmm,Nb,Im-3m,N,P63/mmc
Nb4N3,4/mmm,Nb,Im-3m,N,P63/mmc
NbN,6/mmm,Nb,Im-3m,N,P63/mmc
NbN,6/mmm,Nb,Im-3m,N,P63/mmc
NbN,m-3m,Nb,Im-3m,N,P63/mmc
NbN,6mm,Nb,Im-3m,N,P63/mmc
NbN,-43m,Nb,Im-3m,N,P63/mmc
NbN,m-3m,Nb,Im-3m,N,P63/mmc
NbNi3,mmm,Nb,Im-3m,Ni,Fm-3m
NbNi3,4/mmm,Nb,Im-3m,Ni,Fm-3m
Nb3Ni,m-3m,Nb,Im-3m,Ni,Fm-3m
NbNi3,m-3m,Nb,Im-3m,Ni,Fm-3m
NbNi3,m-3m,Nb,Im-3m,Ni,Fm-3m
Nb3Ni,m-3m,Nb,Im-3m,Ni,Fm-3m
NbO,m-3m,Nb,Im-3m,O,C12/m1
NbO2,4/m,Nb,Im-3m,O,C12/m1
Nb2O5,2/m,Nb,Im-3m,O,C12/m1
NbO2,4/mmm,Nb,Im-3m,O,C12/m1
NbO2,4/mmm,Nb,Im-3m,O,C12/m1
Nb2O5,222,Nb,Im-3m,O,C12/m1
NbO2,2/m,Nb,Im-3m,O,C12/m1
Nb2O5,2,Nb,Im-3m,O,C12/m1
NbO,4/mmm,Nb,Im-3m,O,C12/m1
Nb3Os,m-3m,Nb,Im-3m,Os,P63/mmc
NbP,4mm,Nb,Im-3m,P,P-1
NbP,4/mmm,Nb,Im-3m,P,P-1
NbPd2,mmm,Nb,Im-3m,Pd,Fm-3m
NbPd3,mmm,Nb,Im-3m,Pd,Fm-3m
NbPd3,4/mmm,Nb,Im-3m,Pd,Fm-3m
Nb3Pt,m-3m,Nb,Im-3m,Pt,Fm-3m
NbPt2,mmm,Nb,Im-3m,Pt,Fm-3m
NbPt,mmm,Nb,Im-3m,Pt,Fm-3m
NbPt3,2/m,Nb,Im-3m,Pt,Fm-3m
Nb3Rh,m-3m,Nb,Im-3m,Rh,Fm-3m
NbRh,4/mmm,Nb,Im-3m,Rh,Fm-3m
NbRh3,m-3m,Nb,Im-3m,Rh,Fm-3m
NbRh,2/m,Nb,Im-3m,Rh,Fm-3m
NbRh,mmm,Nb,Im-3m,Rh,Fm-3m
NbRu3,m-3m,Nb,Im-3m,Ru,P63/mmc
NbRu,4/mmm,Nb,Im-3m,Ru,P63/mmc
Nb3Ru,m-3m,Nb,Im-3m,Ru,P63/mmc
NbRu,m-3m,Nb,Im-3m,Ru,P63/mmc
NbS2,6/mmm,Nb,Im-3m,S,Fddd
NbS2,3m,Nb,Im-3m,S,Fddd
NbS2,mm2,Nb,Im-3m,S,Fddd
NbS2,-6m2,Nb,Im-3m,S,Fddd
NbS2,mm2,Nb,Im-3m,S,Fddd
NbS3,-1,Nb,Im-3m,S,Fddd
NbS2,-3m,Nb,Im-3m,S,Fddd
NbS2,6/mmm,Nb,Im-3m,S,Fddd
NbS2,-3m,Nb,Im-3m,S,Fddd
NbS,6/mmm,Nb,Im-3m,S,Fddd
NbS,-6m2,Nb,Im-3m,S,Fddd
NbS2,4/mmm,Nb,Im-3m,S,Fddd
NbSb2,2/m,Nb,Im-3m,Sb,R-3m
Nb3Sb,m-3m,Nb,Im-3m,Sb,R-3m
Nb5Sb4,4/m,Nb,Im-3m,Sb,R-3m
NbSe2,-6m2,Nb,Im-3m,Se,P121/c1
Nb2Se,2/m,Nb,Im-3m,Se,P121/c1
NbSe2,3m,Nb,Im-3m,Se,P121/c1
NbSe2,6/mmm,Nb,Im-3m,Se,P121/c1
NbSe2,222,Nb,Im-3m,Se,P121/c1
Nb5Se4,4/m,Nb,Im-3m,Se,P121/c1
NbSe2,mm2,Nb,Im-3m,Se,P121/c1
Nb2Se3,2/m,Nb,Im-3m,Se,P121/c1
NbSe2,-6m2,Nb,Im-3m,Se,P121/c1
NbSe2,-6m2,Nb,Im-3m,Se,P121/c1
NbSe2,-3m,Nb,Im-3m,Se,P121/c1
Nb5Si3,4/mmm,Nb,Im-3m,Si,Fd-3m
NbSi2,622,Nb,Im-3m,Si,Fd-3m
NbSi2,622,Nb,Im-3m,Si,Fd-3m
Nb3Si,4/m,Nb,Im-3m,Si,Fd-3m
Nb5Si3,4/mmm,Nb,Im-3m,Si,Fd-3m
Nb5Si3,6/mmm,Nb,Im-3m,Si,Fd-3m
NbSn2,mmm,Nb,Im-3m,Sn,I41/amd
Nb3Sn,m-3m,Nb,Im-3m,Sn,I41/amd
NbTe2,2/m,Nb,Im-3m,Te,P3121
Nb5Te4,4/m,Nb,Im-3m,Te,P3121
NbTe4,4/mmm,Nb,Im-3m,Te,P3121
NbTe2,-3m,Nb,Im-3m,Te,P3121
Nb3Te,m-3m,Nb,Im-3m,Te,P3121
NbTe,-6m2,Nb,Im-3m,Te,P3121
Nb3Tl,m-3m,Nb,Im-3m,Tl,P63/mmc
NbZn16,mmm,Nb,Im-3m,Zn,P63/mmc
NbZn3,m-3m,Nb,Im-3m,Zn,P63/mmc
NbZn2,6/mmm,Nb,Im-3m,Zn,P63/mmc
Mo5As4,4/m,Mo,Im-3m,As,R-3m
MoBr3,mmm,Mo,Im-3m,Br,Cmca
Mo2C,mmm,Mo,Im-3m,C,P63/mmc
MoC,-6m2,Mo,Im-3m,C,P63/mmc
MoC,6/mmm,Mo,Im-3m,C,P63/mmc
MoC,m-3m,Mo,Im-3m,C,P63/mmc
MoC,-43m,Mo,Im-3m,C,P63/mmc
Mo2C,-6m2,Mo,Im-3m,C,P63/mmc
MoCl3,2/m,Mo,Im-3m,Cl,Cmca
MoF6,mmm,Mo,Im-3m,F,C12/c1
MoF3,m-3m,Mo,Im-3m,F,C12/c1
MoH,6/mmm,Mo,Im-3m,H,P63/mmc
Mo3H,m-3m,Mo,Im-3m,H,P63/mmc
Mo3H,4/mmm,Mo,Im-3m,H,P63/mmc
MoI3,6/mmm,Mo,Im-3m,I,Cmca
Mo3I,m-3m,Mo,Im-3m,I,Cmca
MoIr,mmm,Mo,Im-3m,Ir,Fm-3m
MoIr3,6/mmm,Mo,Im-3m,Ir,Fm-3m
Mo3Ir,m-3m,Mo,Im-3m,Ir,Fm-3m
MoN,6mm,Mo,Im-3m,N,P63/mmc
Mo2N,4/mmm,Mo,Im-3m,N,P63/mmc
MoN,6mm,Mo,Im-3m,N,P63/mmc
MoN2,2/m,Mo,Im-3m,N,P63/mmc
MoN,-43m,Mo,Im-3m,N,P63/mmc
MoN,m-3m,Mo,Im-3m,N,P63/mmc
MoN,m-3m,Mo,Im-3m,N,P63/mmc
MoN,6/mmm,Mo,Im-3m,N,P63/mmc
MoO3,2/m,Mo,Im-3m,O,C12/m1
MoO2,mmm,Mo,Im-3m,O,C12/m1
MoO3,1,Mo,Im-3m,O,C12/m1
Mo2O5,mmm,Mo,Im-3m,O,C12/m1
MoO2,4/mmm,Mo,Im-3m,O,C12/m1
MoO2,mmm,Mo,Im-3m,O,C12/m1
MoO2,-1,Mo,Im-3m,O,C12/m1
Mo3Os,m-3m,Mo,Im-3m,Os,P63/mmc
MoP4,2/m,Mo,Im-3m,P,P-1
MoP,-6m2,Mo,Im-3m,P,P-1
MoP,m-3m,Mo,Im-3m,P,P-1
MoP,-43m,Mo,Im-3m,P,P-1
MoPt2,mmm,Mo,Im-3m,Pt,Fm-3m
MoPt,mmm,Mo,Im-3m,Pt,Fm-3m
Mo3Pt,m-3m,Mo,Im-3m,Pt,Fm-3m
MoPt3,m-3m,Mo,Im-3m,Pt,Fm-3m
MoRh3,6/mmm,Mo,Im-3m,Rh,Fm-3m
MoRh,mmm,Mo,Im-3m,Rh,Fm-3m
MoRu3,6/mmm,Mo,Im-3m,Ru,P63/mmc
MoS2,6/mmm,Mo,Im-3m,S,Fddd
MoS2,3m,Mo,Im-3m,S,Fddd
MoS2,-6m2,Mo,Im-3m,S,Fddd
MoS2,-3m,Mo,Im-3m,S,Fddd
MoS2,6/mmm,Mo,Im-3m,S,Fddd
MoS2,-6m2,Mo,Im-3m,S,Fddd
Mo2S3,2/m,Mo,Im-3m,S,Fddd
MoS2,-43m,Mo,Im-3m,S,Fddd
MoSe2,-6m2,Mo,Im-3m,Se,P121/c1
MoSe2,3m,Mo,Im-3m,Se,P121/c1
MoSe2,6/mmm,Mo,Im-3m,Se,P121/c1
MoSe2,-6m2,Mo,Im-3m,Se,P121/c1
TcAg3,4/mmm,Tc,P63/mmc,Ag,Fm-3m
Tc3As,4/mmm,Tc,P63/mmc,As,R-3m
TcAs3,4/mmm,Tc,P63/mmc,As,R-3m
TcB2,6/mmm,Tc,P63/mmc,B,R-3m
TcB,-6m2,Tc,P63/mmc,B,R-3m
TcB,6/mmm,Tc,P63/mmc,B,R-3m
TcB,6/mmm,Tc,P63/mmc,B,R-3m
TcB,m-3m,Tc,P63/mmc,B,R-3m
TcB,m-3m,Tc,P63/mmc,B,R-3m
TcB,-43m,Tc,P63/mmc,B,R-3m
TcC,-43m,Tc,P63/mmc,C,P63/mmc
TcC,m-3m,Tc,P63/mmc,C,P63/mmc
TcF6,m-3m,Tc,P63/mmc,F,C12/c1
TcGe3,4/mmm,Tc,P63/mmc,Ge,Fm-3m
Tc3H,m-3m,Tc,P63/mmc,H,P63/mmc
Tc3N,-6m2,Tc,P63/mmc,N,P63/mmc
TcN,m-3m,Tc,P63/mmc,N,P63/mmc
TcN,-43m,Tc,P63/mmc,N,P63/mmc
TcN,6/mmm,Tc,P63/mmc,N,P63/mmc
TcN,-6m2,Tc,P63/mmc,N,P63/mmc
TcN,4/mmm,Tc,P63/mmc,N,P63/mmc
TcN,m-3m,Tc,P63/mmc,N,P63/mmc
TcN,m-3m,Tc,P63/mmc,N,P63/mmc
Tc3Ni,6/mmm,Tc,P63/mmc,Ni,Fm-3m
TcO2,2/m,Tc,P63/mmc,O,C12/m1
TcOs3,6/mmm,Tc,P63/mmc,Os,P63/mmc
Tc3Os,6/mmm,Tc,P63/mmc,Os,P63/mmc
